City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Tuktoyaktuk,CA,69.4541,-133.0374,0.16,91,100,12.48,overcast clouds
171,Peterhead,GB,57.5058,-1.7981,48.6,69,96,9.1,overcast clouds
172,Eyl,SO,7.9803,49.8164,81.9,75,4,14.03,clear sky
173,Sao Francisco,BR,-15.9486,-44.8644,98.08,28,65,1.68,broken clouds
174,Salvador,SV,13.8333,-88.9167,80.06,47,13,4.81,few clouds
175,Mogadishu,SO,2.0371,45.3438,85.87,74,40,12.66,scattered clouds
176,Westport,US,41.1415,-73.3579,50.56,57,14,8.99,few clouds
177,San Patricio,US,28.017,-97.5169,77.09,61,0,25.39,clear sky
178,Kilinochchi,LK,9.3961,80.3982,79.7,84,100,3.56,overcast clouds
179,Biryukove,UA,47.9563,39.7384,66.11,44,92,9.51,overcast clouds
180,Souillac,MU,-20.5167,57.5167,77.81,81,49,13.98,light rain
181,Sayyan,YE,15.1718,44.3244,70.25,18,2,14.85,clear sky
182,Tilichiki,RU,60.4667,166.1,4.8,96,42,8.84,scattered clouds
183,Mount Gambier,AU,-37.8333,140.7667,58.91,77,100,9.22,overcast clouds
184,Esperance,AU,-33.8667,121.9,60.31,84,8,15.12,clear sky
185,Tuy Hoa,VN,13.0833,109.3,73.81,94,46,4.34,scattered clouds
186,Mancio Lima,BR,-7.6142,-72.8958,75.13,93,100,2.77,light rain
187,Awjilah,LY,29.1081,21.2869,85.53,14,0,13.15,clear sky
188,Offa,NG,8.15,4.7167,99.79,24,30,6.49,scattered clouds
189,Ndungu,TZ,-4.3667,38.05,84.96,46,59,7.52,broken clouds
190,Kruisfontein,ZA,-34.0033,24.7314,66.88,79,80,15.88,broken clouds
191,Saint George,US,37.1041,-113.5841,56.79,14,3,3.0,clear sky
192,Natal,BR,-5.795,-35.2094,88.45,66,40,11.5,scattered clouds
193,Svetlogorsk,BY,52.6333,29.7333,48.15,52,100,3.96,overcast clouds
194,Misratah,LY,32.3754,15.0925,65.03,60,0,16.08,clear sky
195,Ostrovnoy,RU,68.0531,39.5131,33.69,98,100,18.72,snow
196,Kenda,IN,23.2,86.5333,83.62,49,0,9.04,clear sky
197,Tobol,KZ,52.6844,62.5794,49.15,59,100,16.17,overcast clouds
198,Katsuura,JP,35.1333,140.3,61.27,89,13,9.86,few clouds
199,Olafsvik,IS,64.8945,-23.7142,38.07,87,100,20.62,overcast clouds
200,Nauta,PE,-4.5061,-73.5757,77.0,92,100,2.21,overcast clouds
201,Aquiraz,BR,-3.9014,-38.3911,78.19,79,90,6.8,overcast clouds
202,Goderich,CA,43.7501,-81.7165,36.91,77,100,14.43,overcast clouds
203,Bandarbeyla,SO,9.4942,50.8122,82.02,73,2,9.78,clear sky
204,Almaznyy,RU,48.0448,40.045,65.64,48,89,11.23,overcast clouds
205,Gamba,GA,-2.65,10.0,81.93,74,100,7.54,overcast clouds
206,Sisimiut,GL,66.9395,-53.6735,25.23,61,100,1.39,overcast clouds
207,Port Hardy,CA,50.6996,-127.4199,37.2,79,53,4.05,broken clouds
208,Qaanaaq,GL,77.484,-69.3632,-1.1,82,59,5.75,broken clouds
209,Brae,GB,60.3964,-1.353,39.18,54,99,13.22,overcast clouds
210,Sur,OM,22.5667,59.5289,90.66,32,100,3.27,overcast clouds
211,Alofi,NU,-19.0595,-169.9187,75.09,94,2,0.0,clear sky
212,Chumikan,RU,54.7183,135.315,16.45,92,98,10.51,overcast clouds
213,Tual,ID,-5.6667,132.75,84.33,74,100,13.98,overcast clouds
214,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,22.68,74,100,8.7,overcast clouds
215,Pombas,CV,17.1503,-25.0201,73.18,74,20,15.39,few clouds
216,Uglegorsk,RU,49.0833,142.0333,31.6,86,100,9.55,snow
217,Roebourne,AU,-20.7833,117.1333,85.68,32,11,10.2,few clouds
218,Ribeira Grande,PT,38.5167,-28.7,55.8,76,40,27.63,scattered clouds
219,Salalah,OM,17.0151,54.0924,82.85,63,0,4.32,clear sky
220,Naze,JP,28.3667,129.4833,66.52,94,90,11.56,overcast clouds
221,Faya,SA,18.3851,42.4509,68.59,37,1,10.89,clear sky
222,Kaeo,NZ,-35.1,173.7833,55.33,93,33,5.19,scattered clouds
223,Casper,US,42.8666,-106.3131,27.72,72,100,11.99,overcast clouds
224,Zaozhuang,CN,34.8647,117.5542,68.14,67,0,4.81,clear sky
225,Taybad,IR,34.74,60.7756,72.07,29,100,11.41,overcast clouds
226,Hambantota,LK,6.1241,81.1185,80.94,89,40,5.75,scattered clouds
227,Mnogovershinnyy,RU,53.9353,139.9242,12.4,85,94,3.24,overcast clouds
228,Teguldet,RU,57.3064,88.1667,19.24,93,99,5.03,overcast clouds
229,Sorland,NO,67.667,12.6934,35.82,99,100,14.54,overcast clouds
230,Novopskov,UA,49.5464,39.0899,64.24,51,100,7.56,overcast clouds
231,Aripuana,BR,-9.1667,-60.6333,87.44,61,100,1.59,overcast clouds
232,Adrar,MR,20.5022,-10.0711,98.96,4,0,6.08,clear sky
233,Hofn,IS,64.2539,-15.2082,39.22,56,75,6.91,broken clouds
234,Touros,BR,-5.1989,-35.4608,87.71,60,61,15.23,broken clouds
235,Jurado,CO,7.1053,-77.7641,77.79,90,100,2.44,light rain
236,Diego De Almagro,CL,-26.3667,-70.05,71.56,24,0,7.02,clear sky
237,Asau,RO,46.4333,26.4,40.95,100,100,7.29,overcast clouds
238,Iqaluit,CA,63.7506,-68.5145,23.7,85,100,3.51,overcast clouds
239,High Level,CA,58.5169,-117.136,23.54,86,91,12.48,overcast clouds
240,Tasiilaq,GL,65.6145,-37.6368,20.61,69,57,1.01,broken clouds
241,Freeport,US,40.6576,-73.5832,51.19,47,11,8.01,few clouds
242,Abu Kamal,SY,34.4506,40.9171,83.73,15,90,8.41,overcast clouds
243,Coquimbo,CL,-29.9533,-71.3436,62.83,72,1,5.7,clear sky
244,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.77,47,61,4.52,broken clouds
245,Hervey Bay,AU,-25.2986,152.8535,73.78,75,76,12.37,broken clouds
246,Aksehir,TR,38.3575,31.4164,63.0,37,8,9.55,clear sky
247,Vardo,NO,70.3705,31.1107,36.41,87,68,21.03,broken clouds
248,Baragua,CU,21.6967,-78.6328,80.42,45,8,13.35,clear sky
249,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,20,7.0,few clouds
250,Beringovskiy,RU,63.05,179.3167,25.11,93,51,14.25,broken clouds
251,Hay River,CA,60.8156,-115.7999,13.35,88,100,15.82,overcast clouds
252,Buraydah,SA,26.326,43.975,89.53,9,67,11.21,broken clouds
253,Mongar,BT,27.2747,91.2396,56.19,87,99,4.45,overcast clouds
254,Ust-Maya,RU,60.4167,134.5333,23.18,98,100,3.51,light snow
255,Ponta Do Sol,PT,32.6667,-17.1,70.72,75,52,13.8,broken clouds
256,Racine,US,42.7495,-88.0751,52.88,50,81,9.22,broken clouds
257,Grootfontein,NA,-19.5667,18.1167,82.45,30,62,4.9,broken clouds
258,Charagua,BO,-19.8,-63.2167,84.7,48,22,10.38,few clouds
259,Iwanai,JP,42.9744,140.5089,45.86,93,62,8.68,light rain
260,Gorin,RU,51.1983,136.6669,29.01,97,100,4.99,light snow
261,East London,ZA,-33.0153,27.9116,66.49,78,100,15.99,overcast clouds
262,Polunochnoye,RU,60.8697,60.4153,37.8,98,100,7.67,overcast clouds
263,Isangel,VU,-19.55,169.2667,79.97,84,44,8.3,scattered clouds
264,Coahuayana,MX,18.7333,-103.6833,85.3,42,31,2.44,scattered clouds
265,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.54,35,7,16.84,clear sky
266,Adeje,ES,28.1227,-16.726,71.87,56,20,12.66,few clouds
267,Narsaq,GL,60.9167,-46.05,32.88,40,100,1.92,overcast clouds
268,New Plymouth,NZ,-39.0667,174.0833,54.55,89,4,3.87,clear sky
269,Bambanglipuro,ID,-7.95,110.2833,77.5,86,97,2.55,overcast clouds
270,Kennett,US,36.2362,-90.0556,65.25,54,0,17.27,clear sky
271,Ingham,US,42.6,-84.3833,45.84,64,0,0.0,clear sky
272,Kudahuvadhoo,MV,2.6708,72.8944,84.96,66,10,10.85,clear sky
273,Kodinsk,RU,58.6881,99.1844,22.19,94,51,1.39,broken clouds
274,Mahebourg,MU,-20.4081,57.7,76.24,79,32,15.12,light rain
275,Caravelas,BR,-17.7125,-39.2481,88.03,54,3,9.44,clear sky
276,South Venice,US,27.0531,-82.4243,69.12,41,0,14.97,haze
277,Darnah,LY,32.767,22.6367,65.35,49,70,16.69,broken clouds
278,Tahta,EG,26.7693,31.5021,95.63,7,0,12.59,clear sky
279,Harlingen,US,26.1906,-97.6961,78.76,50,20,28.77,few clouds
280,Pangnirtung,CA,66.1451,-65.7125,25.07,87,100,5.79,overcast clouds
281,Praya,CV,14.9215,-23.5087,79.34,50,20,26.46,few clouds
282,Mar Del Plata,AR,-38.0023,-57.5575,69.82,97,75,10.0,broken clouds
283,Mackay,AU,-21.15,149.2,76.68,89,35,14.58,scattered clouds
284,Sanislau,RO,47.6333,22.3333,49.86,46,99,11.61,overcast clouds
285,Dryden,CA,49.7833,-92.7503,37.2,79,97,8.19,overcast clouds
286,Mecca,SA,21.4267,39.8261,92.82,18,0,10.51,clear sky
287,Aktash,RU,50.3,87.7333,14.63,82,13,1.99,few clouds
288,Villanueva,HN,15.3167,-88.0,76.03,94,100,3.44,overcast clouds
289,Lumeje,AO,-11.55,20.7833,66.13,89,100,5.17,overcast clouds
290,San Cristobal,VE,7.7669,-72.225,83.95,39,100,8.61,overcast clouds
291,Rio Grande,BR,-32.035,-52.0986,77.95,74,20,14.99,few clouds
292,Vung Tau,VN,10.346,107.0843,79.66,78,42,12.57,scattered clouds
293,Sambava,MG,-14.2667,50.1667,77.58,89,31,10.76,light rain
294,Ballina,AU,-28.8667,153.5667,66.02,99,15,6.49,few clouds
295,Port Blair,IN,11.6667,92.75,82.78,70,90,1.92,overcast clouds
296,Huarmey,PE,-10.0681,-78.1522,72.45,79,57,8.72,broken clouds
297,Mocuba,MZ,-16.8392,36.9856,76.62,84,27,3.13,scattered clouds
298,Camabatela,AO,-8.1881,15.375,67.01,91,100,0.81,overcast clouds
299,Robinson,US,31.4677,-97.1147,69.8,74,100,26.46,overcast clouds
300,Beni Mazar,EG,28.4962,30.8029,90.25,12,100,15.21,overcast clouds
301,Emerald,AU,-23.5333,148.1667,73.35,75,0,8.81,clear sky
302,Nanakuli,US,21.3906,-158.1547,74.44,78,100,0.0,overcast clouds
303,Tiznit,MA,29.5833,-9.5,81.88,18,21,7.49,few clouds
304,Port Shepstone,ZA,-30.7414,30.455,68.61,79,100,15.88,moderate rain
305,Shush,IR,32.1942,48.2436,83.53,11,0,10.49,clear sky
306,Maningrida,AU,-12.0667,134.2667,80.29,79,49,6.33,scattered clouds
307,Dibulla,CO,11.2725,-73.3091,84.06,62,87,11.52,overcast clouds
308,Bridgton,US,44.0548,-70.7128,50.81,67,84,6.08,broken clouds
309,Cabo San Lucas,MX,22.8909,-109.9124,70.52,71,36,11.01,scattered clouds
310,San Pedro,PH,14.35,121.0167,81.32,80,100,7.58,light rain
311,Talnakh,RU,69.4865,88.3972,-2.83,99,96,0.76,overcast clouds
312,Kitami,JP,43.8031,143.8908,41.13,82,100,12.71,overcast clouds
313,Amahai,ID,-3.3333,128.9167,78.46,84,89,0.54,overcast clouds
314,Arrifes,PT,37.7667,-25.7,55.65,62,40,25.32,scattered clouds
315,Angoram,PG,-4.0625,144.0661,72.59,99,34,1.86,scattered clouds
316,Shirdi,IN,19.7667,74.4833,91.22,19,42,16.82,scattered clouds
317,Aklavik,CA,68.2191,-135.0107,-14.89,97,86,2.75,overcast clouds
318,Clyde River,CA,70.4692,-68.5914,5.5,90,100,4.23,overcast clouds
319,Goreloye,RU,52.937,41.5043,58.75,61,100,8.52,overcast clouds
320,Benghazi,LY,32.1167,20.0667,66.54,52,1,13.47,clear sky
321,Hualmay,PE,-11.0964,-77.6139,72.23,77,63,9.1,broken clouds
322,Santa Rosa,PH,14.3122,121.1114,82.09,78,100,7.25,overcast clouds
323,Camacha,PT,33.0833,-16.3333,62.02,72,75,17.27,broken clouds
324,Saint-Francois,FR,46.4154,3.9054,58.68,44,0,8.05,clear sky
325,Nelson Bay,AU,-32.7167,152.15,64.99,95,7,5.23,clear sky
326,Edinet,MD,48.1681,27.305,43.56,65,100,12.71,overcast clouds
327,Harper,LR,4.375,-7.7169,85.68,66,90,7.29,overcast clouds
328,Svetlaya,RU,46.5389,138.3297,34.66,97,100,6.44,light snow
329,Poum,NC,-20.2333,164.0167,79.5,76,57,14.43,broken clouds
330,Nemuro,JP,43.3236,145.575,35.55,81,91,10.36,overcast clouds
331,Stari Bohorodchany,UA,48.8336,24.5243,44.1,62,100,8.32,overcast clouds
332,Lagoa,PT,39.05,-27.9833,55.33,59,100,31.94,overcast clouds
333,Krivodanovka,RU,55.0881,82.6551,30.29,58,0,4.47,clear sky
334,Amarpatan,IN,24.3167,80.9833,94.01,9,0,3.56,clear sky
335,Chakia,IN,26.4167,85.05,83.57,44,6,8.99,clear sky
336,Sechura,PE,-5.5569,-80.8222,77.0,63,75,11.88,broken clouds
337,Saint Cloud,US,45.5608,-94.1625,47.16,46,0,11.5,clear sky
338,Alice,US,27.7523,-98.0697,76.73,58,0,24.2,clear sky
339,Beboto,TD,8.2668,16.939,87.93,42,100,7.58,light rain
340,Peachland,CA,49.7665,-119.7357,36.68,78,99,1.95,overcast clouds
341,Warrnambool,AU,-38.3833,142.4833,58.8,77,100,13.94,light rain
342,Seoul,KR,37.5683,126.9778,58.39,56,77,1.77,broken clouds
343,Santa,PH,17.486,120.4348,84.02,76,75,1.66,broken clouds
344,Sonoita,MX,31.85,-112.8333,70.92,31,0,12.75,clear sky
345,Ayan,RU,56.45,138.1667,21.47,76,15,5.01,few clouds
346,Faanui,PF,-16.4833,-151.75,82.2,73,35,15.68,scattered clouds
347,Lucea,JM,18.451,-78.1736,80.01,73,54,14.99,broken clouds
348,Yazd,IR,31.8972,54.3675,82.51,11,0,16.11,clear sky
